10.1016/j.cogsys.2012.06.003,Emergence in stigmergic and complex adaptive systems: A formal discrete event systems perspective,"Abstract: Complex systems have been studied by researchers from every discipline: biology, chemistry, physics, sociology, mathematics and economics and more. Depending upon the discipline, complex systems theory has accrued many flavors. We are after a formal representation, a model that can predict the outcome of a complex adaptive system (CAS). In this article, we look at the nature of complexity, then provide a perspective based on discrete event systems (DEVS) theory. We pin down many of the shared features between CAS and artificial systems. We begin with an overview of network science showing how adaptive behavior in these scale-free networks can lead to emergence through stigmergy in CAS. We also address how both self-organization and emergence interplay in a CAS. We then build a case for the view that stigmergic systems are a special case of CAS. We then discuss DEVS levels of systems specifications and present the dynamic structure extensions of DEVS formalism that lends itself to a study of CAS and in turn, stigmergy. Finally, we address the shortcomings and the limitation of current DEVS extensions and propose the required augmentation to model stigmergy and CAS. (C) 2012 Elsevier B.V. All rights reserved. "," Computer Science, Artificial Intelligence; Neurosciences; Psychology, Experimental "
10.4208/cicp.170711.111111s,DelEnsembleElec: Computing Ensemble-Averaged Electrostatics Using DelPhi,"Abstract: A new VMD plugin that interfaces with DelPhi to provide ensemble-averaged electrostatic calculations using the Poisson-Boltzmann equation is presented. The general theory and context of this approach are discussed, and examples of the plugin interface and calculations are presented. This new tool is applied to systems of current biological interest, obtaining the ensemble-averaged electrostatic properties of the two major influenza virus glycoproteins, hemagglutinin and neuraminidase, from explicitly solvated all-atom molecular dynamics trajectories. The differences between the ensemble-averaged electrostatics and those obtained from a single structure are examined in detail for these examples, revealing how the plugin can be a powerful tool in facilitating the modeling of electrostatic interactions in biological systems. "," Physics, Mathematical "
10.1159/000339303,Novel Pathways in the Pathobiology of Human Abdominal Aortic Aneurysms,"Abstract: Objectives: Abdominal aortic aneurysm (AAA), a dilatation of the infrarenal aorta, typically affects males >65 years. The pathobiological mechanisms of human AAA are poorly understood. The goal of this study was to identify novel pathways involved in the development of AAAs. Methods: A custom-designed 'AAA-chip' was used to assay 43 of the differentially expressed genes identified in a previously published microarray study between AAA (n = 15) and control (n = 15) infrarenal abdominal aorta. Protein analyses were performed on selected genes. Results: Altogether 38 of the 43 genes on the 'AAA-chip' showed significantly different expression. Novel validated genes in AAA pathobiology included ADCY7, ARL4C, BLNK, FOSB, GATM, LYZ, MFGE8, PRUNE2, PTPRC, SMTN, TMODI and TPM2. These genes represent a wide range of biological functions, such as calcium signaling, development and differentiation, as well as cell adhesion not previously implicated in AAA pathobiology. Protein analyses for GATM, CD4, CXCR4, BLNK, PLEK, LYZ, FOSB, DUSP6, ITGA5 and PTPRC confirmed the mRNA findings. Conclusion: The results provide new directions for future research into AAA pathogenesis to study the role of novel genes confirmed here. New treatments and diagnostic tools for AAA could potentially be identified by studying these novel pathways. Copyright (C) 2012 S. Karger AG, Basel ", Cell Biology; Pathology 
10.1016/j.canlet.2012.07.026,Biomodulatory approaches to photodynamic therapy for solid tumors,"Abstract: Photodynamic Therapy (PDT) uses a photosensitizing drug in combination with visible light to kill cancer cells. PDT has an advantage over surgery or ionizing radiation because PDT can eliminate tumors without causing fibrosis or scarring. Disadvantages include the dual need for drug and light, and a generally lower efficacy for PDT vs. surgery. This minireview describes basic principles of PDT, photosensitizers available, and aspects of tumor biology that may provide further opportunities for treatment optimization. An emerging biomodulatory approach, using methotrexate or Vitamin D in combination with aminolevulinate-based PDT, is described. Finally, current clinical uses of PDT for solid malignancies are reviewed. (C) 2012 Elsevier Ireland Ltd. All rights reserved. ", Oncology 
10.1016/j.ces.2012.08.027,Effect of bud scars on the mechanical properties of Saccharomyces cerevisiae cell walls,"Abstract: To determine the effect of bud scars on the mechanical properties of the walls of Saccharomyces cerevisiae cells, freshly cultivated stationary phase cells stained with Alexa Fluor 488 conjugated wheat germ agglutinin were sorted according to the number of bud scars using fluorescence-activated cell sorting (FACS). The groups were daughter cells with no bud scars, and mother cells separated further by number of scars (one, two and more than two). Cells with more than three scars were very rare.
Compression testing by micromanipulation was used to determine key mechanical properties of the sorted cells. For all cells the force and fractional deformation at bursting could be determined. For 69% of cells overall but only 32% of daughter cells, a large strain mathematical model using a linear elastic constitutive equation for the wall material could be fitted to force deformation data up to cell wall failure. For these cells, the wall surface modulus, elastic modulus, initial stretch ratio and strain energy per unit volume at bursting could be estimated. For the remainder of the cells, the lack of permanent deformation on repeated compression and release (at deformations not causing bursting) suggested the cell wall material was non-linear elastic but with no observable plastic behaviour.
This is the first report to show directly that bud scars affect the global mechanical properties of yeast cells and that the important distinction with respect to scars is between daughter and mother cells. The former were smaller with more elastic walls and a higher mean initial stretch ratio. For cells for which the model could be fitted, the mean circumferential strain at bursting decreased with scarring (consistent with stiffer walls) whilst the stress increased. This may be due to the reported absence of chitin in the walls of daughter cells. (C) 2012 Elsevier Ltd. All rights reserved. "," Engineering, Chemical "
10.1002/cne.23148,Characterization of nitric oxide signaling pathways in the mouse retina,"Abstract: Nitric oxide (NO) is a gaseous neuromodulator with physiological functions in every retinal cell type. NO is synthesized by several nitric oxide synthases (NOS) and often functions through its second messenger, cyclic guanosine monophosphate (cGMP), and protein kinase G (PKG). This study combined NO imaging, immunocytochemistry, biochemistry, and molecular biology to localize NO and its downstream signaling pathways in the mouse retina. Neuronal NOS (nNOS) was localized primarily in puncta in the inner plexiform layer, in amacrine cells, and in somata in the ganglion cell layer. Endothelial NOS was in blood vessels. Light-stimulated NO production imaged with diaminofluorescein was present in somata in the inner nuclear layer and in synaptic boutons in the inner plexiform layer. The downstream target of NO, soluble guanylate cyclase (sGC), was in somata in the inner and outer nuclear layers and in both plexiform layers. Cyclic GMP immunocytochemistry was used functionally to localize sGC that was activated by an NO donor in amacrine, bipolar, and ganglion cells. Cyclic GMP-dependent protein kinase (PKG) Ia was found in bipolar cells, ganglion cells, and both plexiform layers, whereas PKG II was found in the outer plexiform layer, amacrine cells, and somata in the ganglion cell layer. This study shows that the NO/cGMP/PKG signaling pathway is functional and widely distributed in specific cell types in the outer and inner mouse retina. A better understanding of these signaling pathways in normal retina will provide a firm basis for targeting their roles in retinal pathology. J. Comp. Neurol. 520:42044217, 2012. (c) 2012 Wiley Periodicals, Inc. ", Neurosciences; Zoology 
10.1016/j.physa.2012.07.001,Multi-scale interactions in Dictyostelium discoideum aggregation,"Abstract: Cellular aggregation is essential for a wide range of phenomena in developmental biology, and a crucial event in the life-cycle of Dictyostelium discoideum. The current manuscript presents an analysis of multi-scale interactions involved in D. discoideum aggregation and non-aggregation events. The multi-scale fractal dimensions of a sequence of microscope images were used to estimate changing structure at different spatial scales. Three regions showing aggregation and three showing non-aggregation were considered. The results showed that both aggregation and non-aggregation regions were strongly multi-fractal. Analyses of the over-time relationships among nine scales of the generalized dimension, D(q), were conducted using vector autoregression and vector error-correction models. Both types of regions showed evidence that across-scale interactions serve to maintain the equilibrium of the system. Aggregation and non-aggregation regions also showed different patterns of effects of individual scales on other scales. Specifically, aggregation regions showed greater effects of both the smallest and largest scales on the smaller scale structures. The results suggest that multi-scale interactions are responsible for maintaining and altering the cellular structures during aggregation. (C) 2012 Elsevier B.V. All rights reserved. "," Physics, Multidisciplinary "
10.1016/j.physa.2012.07.074,An optimal control approach to probabilistic Boolean networks,"Abstract: External control of some genes in a genetic regulatory network is useful for avoiding undesirable states associated with some diseases. For this purpose, a number of stochastic optimal control approaches have been proposed. Probabilistic Boolean networks (PBNs) as powerful tools for modeling gene regulatory systems have attracted considerable attention in systems biology. In this paper, we deal with a problem of optimal intervention in a PBN with the help of the theory of discrete time Markov decision process. Specifically, we first formulate a control model for a PBN as a first passage model for discrete time Markov decision processes and then find, using a value iteration algorithm, optimal effective treatments with the minimal expected first passage time over the space of all possible treatments. In order to demonstrate the feasibility of our approach, an example is also displayed. (C) 2012 Elsevier B.V. All rights reserved. "," Physics, Multidisciplinary "
10.1098/rsta.2012.0397,Changing currents: a strategy for understanding and predicting the changing ocean circulation,"Abstract: Within the context of UK marine science, we project a strategy for ocean circulation research over the next 20 years. We recommend a focus on three types of research: (i) sustained observations of the varying and evolving ocean circulation, (ii) careful analysis and interpretation of the observed climate changes for comparison with climate model projections, and (iii) the design and execution of focused field experiments to understand ocean processes that are not resolved in coupled climate models so as to be able to embed these processes realistically in the models. Within UK-sustained observations, we emphasize smart, cost-effective design of the observational network to extract maximum information from limited field resources. We encourage the incorporation of new sensors and new energy sources within the operational environment of UK-sustained observational programmes to bridge the gap that normally separates laboratory prototype from operational instrument. For interpreting the climate-change records obtained through a variety of national and international sustained observational programmes, creative and dedicated UK scientists should lead efforts to extract the meaningful signals and patterns of climate change and to interpret them so as to project future changes. For the process studies, individual scientists will need to work together in team environments to combine observational and process modelling results into effective improvements in the coupled climate models that will lead to more accurate climate predictions. ", Multidisciplinary Sciences 
10.1098/rsta.2012.0395,Aspects of marine geoscience: a review and thoughts on potential for observing active processes and progress through collaboration between the ocean sciences,"Abstract: Much progress has been made in the UK in characterizing the internal structures of major physiographic features in the oceans and in developing understanding of the geological processes that have created or shaped them. UK researchers have authored articles of high impact in all areas described here. In contrast to terrestrial geoscience, however, there have been few instrumented observations made of active processes by UK scientists. This is an area that could be developed over the next decades in the UK. Research on active processes has the potential ability to engage the wider public: Some active processes present significant geo-hazards to populations and offshore infrastructure that require monitoring and there could be commercial applications of technological developments needed for science. Some of the suggestions could involve studies in shallow coastal waters where ship costs are much reduced, addressing tighter funding constraints over the near term. The possibilities of measuring aspects of volcanic eruptions, flowing lava, turbidity currents and mass movements (landslides) are discussed. A further area of potential development is in greater collaboration between the ocean sciences. For example, it is well known in terrestrial geomorphology that biological agents are important in modulating erosion and the transport of sediments, ultimately affecting the shape of the Earth's surface in various ways. The analogous effect of biology on large-scale geomorphology in the oceans is also known but remains poorly quantified. Physical oceanographic models are becoming increasingly accurate and could be used to study further the patterns of erosion, particle transport and deposition in the oceans. Marine geological and geophysical data could in turn be useful for further verification of such models. Adapting them to conditions of past oceans could address the shorter-period movements, such as due to internal waves and tides, which have been barely addressed in palaeoceanography. ", Multidisciplinary Sciences 
10.1016/j.tox.2012.06.021,Characterising hepatic mitochondrial function as a model for systemic toxicity: A commentary,"Abstract: A major challenge in toxicology is the development of non-animal methods for the assessment of human health risks that might result from repeated systemic exposure. We present here a perspective that considers the opportunities that computational modelling methods may offer in addressing this challenge. Our approach takes the form of a commentary designed to inform responses to future calls for research in predictive toxicology. It is considered essential that computational model-building activities be at the centre of the initiative, driving an iterative process of development, testing and refinement. It is critical that the models provide mechanistic understanding and quantitative predictions. The aim would be to predict effects in humans: in order to help define a challenging but yet feasible initial goal the focus would be on liver mitochondrial toxicity. This will inevitably present many challenges that naturally lead to a modular approach, in which the overall problem is broken down into smaller, more self-contained sub-problems that will subsequently need to be connected and aligned to develop an overall understanding. The project would investigate multiple modelling approaches in order to encourage links between the various disciplines that hitherto have often operated in isolation. The project should build upon current activities in the wider scientific community, to avoid duplication of effort and to ensure that investment is maximised. Strong leadership will be required to ensure alignment around a set of common goals that would be derived using a problem-statement driven approach. Finally, although the focus here is on toxicology, there is a clear link to the wider challenges in systems medicine and improving human health. ", Pharmacology & Pharmacy; Toxicology 
10.1098/rsif.2012.0417,Quantitative biology of single neurons,"Abstract: The building blocks of complex biological systems are single cells. Fundamental insights gained from single-cell analysis promise to provide the framework for understanding normal biological systems development as well as the limits on systems/cellular ability to respond to disease. The interplay of cells to create functional systems is not well understood. Until recently, the study of single cells has concentrated primarily on morphological and physiological characterization. With the application of new highly sensitive molecular and genomic technologies, the quantitative biochemistry of single cells is now accessible. ", Multidisciplinary Sciences 
10.1098/rsif.2012.0416,Turnover of fibrillar collagen in soft biological tissue with application to the expansion of abdominal aortic aneurysms,"Abstract: A better understanding of the inherent properties of vascular tissue to adapt to its mechanical environment is crucial to improve the predictability of biomechanical simulations. Fibrillar collagen in the vascular wall plays a central role in tissue adaptation owing to its relatively short lifetime. Pathological alterations of collagen turnover may fail to result in homeostasis and could be responsible for abdominal aortic aneurysm (AAA) growth at later stages of the disease. For this reason our previously reported multiscale constitutive framework (Martufi, G. & Gasser, T. C. 2011 J. Biomech. 44, 2544-2550 (doi:10.1016/j.jbiomech.2011.07.015)) has been enriched by a collagen turnover model. Specifically, the framework's collagen fibril level allowed a sound integration of vascular wall biology, and the impact of collagen turnover on the macroscopic properties of AAAs was studied. To this end, model parameters were taken from the literature and/or estimated from clinical follow-up data of AAAs (on average 50.7 mm-large). Likewise, the in vivo stretch of the AAA wall was set, such that 10 per cent of collagen fibres were engaged. Results showed that the stretch spectrum, at which collagen fibrils are deposed, is the most influential parameter, i.e. it determines whether the vascular geometry grows, shrinks or remains stable over time. Most importantly, collagen turnover also had a remarkable impact on the macroscopic stress field. It avoided high stress gradients across the vessel wall, thus predicted a physiologically reasonable stress field. Although the constitutive model could be successfully calibrated to match the growth of small AAAs, a rigorous validation against experimental data is crucial to further explore the model's descriptive and predictive capabilities. ", Multidisciplinary Sciences 
10.1098/rsif.2012.0418,Tomographic particle image velocimetry of desert locust wakes: instantaneous volumes combine to reveal hidden vortex elements and rapid wake deformation,"Abstract: Aerodynamic structures generated by animals in flight are unstable and complex. Recent progress in quantitative flow visualization has advanced our understanding of animal aerodynamics, but measurements have hitherto been limited to flow velocities at a plane through the wake. We applied an emergent, high-speed, volumetric fluid imaging technique (tomographic particle image velocimetry) to examine segments of the wake of desert locusts, capturing fully three-dimensional instantaneous flow fields. We used those flow fields to characterize the aerodynamic footprint in unprecedented detail and revealed previously unseen wake elements that would have gone undetected by two-dimensional or stereo-imaging technology. Vortex iso-surface topographies show the spatio-temporal signature of aerodynamic force generation manifest in the wake of locusts, and expose the extent to which animal wakes can deform, potentially leading to unreliable calculations of lift and thrust when using conventional diagnostic methods. We discuss implications for experimental design and analysis as volumetric flow imaging becomes more widespread. ", Multidisciplinary Sciences 
10.1098/rsif.2012.0434,Quasi-potential landscape in complex multi-stable systems,"Abstract: The developmental dynamics of multicellular organisms is a process that takes place in a multi-stable system in which each attractor state represents a cell type, and attractor transitions correspond to cell differentiation paths. This new understanding has revived the idea of a quasi-potential landscape, first proposed by Waddington as a metaphor. To describe development, one is interested in the 'relative stabilities' of N attractors (N > 2). Existing theories of state transition between local minima on some potential landscape deal with the exit part in the transition between two attractors in pair-attractor systems but do not offer the notion of a global potential function that relates more than two attractors to each other. Several ad hoc methods have been used in systems biology to compute a landscape in non-gradient systems, such as gene regulatory networks. Here we present an overview of currently available methods, discuss their limitations and propose a new decomposition of vector fields that permits the computation of a quasi-potential function that is equivalent to the Freidlin-Wentzell potential but is not limited to two attractors. Several examples of decomposition are given, and the significance of such a quasi-potential function is discussed. ", Multidisciplinary Sciences 
10.1016/j.jtbi.2012.08.018,Restricted cooperative games on metabolic networks reveal functionally important reactions,"Abstract: Understanding the emerging properties of complex biological systems is in the crux of systems biology studies. Computational methods for elucidating the role of each component in the synergetic interplay can be used to identify targets for genetic and metabolic engineering. In particular, we aim at determining the importance of reactions in a metabolic network with respect to a specific biological function. Therefore, we propose a novel game-theoretic framework which integrates restricted cooperative games with the outcome of flux balance analysis. We define productivity games on metabolic networks and present an analysis of their unrestricted and restricted variants based on the game-theoretic solution concept of the Shapley value. Correspondingly, this concept provides a characterization of the robustness and functional centrality for each enzyme involved in a given metabolic network. Furthermore, the comparison of two different environments - feast and famine - demonstrates the dependence of the results on the imposed flux capacities. (C) 2012 Elsevier Ltd. All rights reserved. ", Biology; Mathematical & Computational Biology 
10.1098/rspb.2012.1664,Unprecedented ichneumonid parasitoid wasp diversity in tropical forests,"Abstract: The megadiverse parasitoid wasp family Ichneumonidae (Hymenoptera) is classically considered an exception to the extensively studied latitudinal diversity gradient: the majority of ichneumonid species are described from temperate regions. The gradient has been hypothesized to be dependent on the biology of the wasps, but recently questions of sampling and description biases have been raised. Here, we show with primary data that the species richness of Ichneumonidae is markedly underestimated in tropical areas and that latitudinal diversity patterns in the family remain uncharacterized. We discovered a startling 177 likely undescribed orthocentrine species with relatively low sampling effort in the forests of Central America and Amazonian Ecuador, over three times the previously known orthocentrine diversity in the world's tropics. Species accumulation curves reveal that we are just beginning to unveil the true extent of tropical orthocentrine diversity. We also found evidence for cryptic species; our DNA analysis revealed additional species not easily distinguishable using morphological characteristics. The difficulty in establishing species richness patterns of Ichneumonidae probably follows from the relative lack of taxonomic expertise and the low density of ichneumonid species throughout the landscape. ", Biology; Ecology; Evolutionary Biology 
